序號,問題,答案
70,經臺北市稅捐稽徵處復查決定後，納稅義務人對復查決定之稅額或罰鍰金額如仍不服，救濟途徑為何？,可以在收到復查決定書之次日起30日內向臺北市政府提起        訴願。由訴願人書立訴願書送交本處收件，並由本處轉送給臺北市政府法務局辦理。
71,訴願書如以郵寄方式送達，訴願期間之計算是否以郵戳為準？,提起訴願時，如以郵寄方式送達訴願書，有關訴願期間的計算是以本處或臺北市政府收受訴願書之日期為準，不是以郵戳日期認定。
72,納稅者如何申請臺北市稅捐稽徵處納保官協助？,納稅者欲申請納保官提供協助時，可親自或郵寄申請書到本處及所屬分處辦理，或撥打電話洽詢納保官，或利用本處網站「視訊服務e櫃檯」申請，也可以在本處網站納稅者權利保護專區、臺北市政府市民服務大平臺及財政部稅務入口網線上申請。
73,如何查詢納稅者權利保護法之相關法令及訊息？,本處網站設有納稅者權利保護專區，於該專區建置有關納稅者權利保護法相關法規及函釋、納保官姓名及聯絡方式、納保工作成果、其他應公開資訊及常見問題Q&A等，民眾可自行上網查詢。
74,在何種情況下，納稅者可請求納保官協助？,"(一)與稅捐稽徵機關發生稅捐爭議時，請求溝通與協調。
(二)認為其權益受有損害時，為申訴或陳情。
(三)依法提請行政救濟時，尋求必要之諮詢與協助。"
75,使用行動支付購物消費時，可否透過行動支付APP儲存雲端發票(即無實體電子發票)？又是否適用於所有店家？,"(一)消費者可於特定營業據點，使用行動支付購物消費並結合雲端發票之載具(手機條碼、信用卡)儲存雲端發票。 
(二)欲查詢行動支付結合雲端發票載具相關內容，可至財政部電子發票整合服務平臺/行動支付結合雲端發票專區查詢。"
76,用信用卡結帳時，可否透過信用卡儲存雲端發票(即無實體電子發票)？又是否適用於所有店家？,"(一)消費者可於特定營業據點，使用參加信用卡載具作業之發卡銀行核發的信用卡儲存雲端發票。
(二)欲查詢適用之營業據點及參加信用卡載具作業之發卡銀行，可至財政部電子發票整合服務平臺/信用卡存發票好康專區查詢。"
77,現行統一發票兌獎措施為何？,"(一)實體通路兌獎據點為第一銀行、彰化銀行、全國農業金庫、農(漁)會信用部、信用合作社、四大超商(7-11、全家、萊爾富、OK)、全聯及美廉社；郵局自107年12月29日起不再提供兌獎服務。
(二) 24 小時統一發票兌獎 APP，提供即時兌領雲端發票及電子發票證明聯五、六獎中獎獎金服務。
(三)統一發票兌獎作業24小時客服專線：4128282。
(四)「領獎收據」填寫內容簡化為中獎金額、中獎人及聯絡電話。"
78,繼承外縣市房屋和土地，可否至臺北市稅捐稽徵處辦理地方稅查欠手續？,"全國各地方稅稽徵機關皆可提供跨縣市繼承案件地方稅查欠服務，民眾持國稅局核發之遺產稅繳清或免稅證明書，可就近至本處所屬各分處辦理。
另本處擴大可預約申請跨縣市查欠服務，民眾僅需以電話、傳真或網路申請並先行傳真遺產稅(繳)免納證明書，再於約定時間持遺產稅(繳)免納證明書正本至預約分處即可完成查欠。"
79,臨櫃申辦稅務案件是否現場填寫申請書即可辦理？,本處已建立「臨櫃文件與表單數位化暨電子簽名管理系統」，臨櫃申辦稅務案件，服務人員會協助民眾透過該系統建立申請書，並掃描相關應備文件，民眾只要透過平板電腦確認申請內容並簽名，即可完成申請，免再填寫紙本申請書。
80,申請課稅明細跟繳納證明可否先預約申請再取件？可否跨區預約？,本處提供查調本市課稅明細及繳納證明等25項預約取件服務，申請人可透過網路、傳真或電話等方式選擇取件分處及取件時間，為服務上班族群，每周三取件時間延長至晚上7時30分，取件時由承辦人核對身分證及相關文件無誤後，申請人於申請書簽章後交付查調資料。若委託他人取件，請於申請書上填寫代理人資料，取件時出具代理人身分證正本、委託人身分證影本、授權書或委任書。
81,如何透過「稅務e申辦」申請簡易稅務案件？,本處網站建置「稅務e申辦」提供納稅義務人上傳身分證明文件影像檔，即可申辦及查詢簡易稅務案件，服務項目為更正房屋稅、地價稅及使用牌照稅繳款書寄送地址、申請補發繳款書、查詢稅款是否已繳納、房屋現值及土地增值稅是否享用自住用地稅率等。
82,可否線上即時查詢、試算臺北市房屋稅或地價稅稅額？,至本處網站登入「房地稅額e化查詢平台」，憑自然人憑證、工商憑證或已註冊之健保卡，即可線上查詢本市房屋稅、地價稅稅額，亦可免憑證線上進行房屋稅、地價稅、契稅之稅額試算及使用情形變更試算。
83,使用臺北市稅捐稽徵處網站房地稅額e化查詢平台之稅額查詢功能無法順利用自然人憑證或健保卡登入？ ,基於資安考量，稅額查詢功能僅支援以IE瀏覽器登入，若確認已使用IE瀏覽器開啟該網頁，請參考網頁上的操作手冊或點擊「第一次使用請先進行環境設定」按鈕，依說明進行環境設定才可順利登入。
84,臺北市稅捐稽徵處網站首頁跑版如何處理？,由於本處網站係以響應式網頁原則開發，民眾如使用較舊版之瀏覽器(如IE8及更早版本)無法正確解讀所使用之語法而導致版面顯示異常。請更新IE瀏覽器或改用Google Chrome、Firefox等瀏覽器解決此問題。
